id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,total_review_activity,days_since_last_review,is_available_all_year
25,Brooklyn,Bushwick,40.68383,-73.90857,Entire home/apt,65,6,2,2019-05-16,0.8,1,19,1.6,2391.0,0
26,Manhattan,Upper East Side,40.77788,-73.95615,Entire home/apt,105,1,3,2016-08-23,0.08,1,0,0.24,3387.0,0
27,Brooklyn,Williamsburg,40.70653,-73.9462,Entire home/apt,84,45,45,2019-06-04,0.61,1,244,27.45,2372.0,0
28,Brooklyn,Sunset Park,40.65976,-73.99191,Private room,35,2,0,,,1,0,,,0
29,Brooklyn,Williamsburg,40.70719,-73.96407,Entire home/apt,200,1,2,2016-12-12,0.06,1,0,0.12,3276.0,0
30,Bronx,Parkchester,40.83067,-73.88024,Private room,35,1,14,2019-07-02,0.7,2,1,9.799999999999999,2344.0,0
31,Brooklyn,Clinton Hill,40.68371,-73.96461,Private room,55,1,3,2015-12-20,0.06,2,343,0.18,3634.0,0
32,Staten Island,Grymes Hill,40.61569,-74.08957,Entire home/apt,125,2,1,2019-06-28,1.0,1,44,1.0,2348.0,0
33,Manhattan,Washington Heights,40.85044,-73.93042,Private room,41,1,0,,,1,38,,,0
34,Manhattan,Harlem,40.82381,-73.94582,Private room,45,30,1,2018-08-31,0.1,8,318,0.1,2649.0,0
35,Manhattan,East Harlem,40.79443,-73.93501,Private room,130,2,49,2019-06-19,1.52,5,76,74.48,2357.0,0
36,Manhattan,West Village,40.73722,-74.00263,Entire home/apt,1500,3,15,2019-06-24,1.21,1,54,18.15,2352.0,0
37,Manhattan,Chelsea,40.74148,-74.00048,Entire home/apt,225,4,2,2016-10-13,0.04,1,0,0.08,3336.0,0
38,Brooklyn,Bedford-Stuyvesant,40.68823,-73.93367,Entire home/apt,126,2,181,2019-06-23,4.73,1,182,856.1300000000001,2353.0,0
39,Brooklyn,Bedford-Stuyvesant,40.68176,-73.91435,Private room,40,2,6,2019-05-10,1.67,10,363,10.02,2397.0,0
40,Manhattan,East Village,40.72305,-73.98834,Private room,150,2,10,2017-08-27,0.31,1,0,3.1,3018.0,0
41,Brooklyn,Williamsburg,40.711,-73.95827,Entire home/apt,185,2,1,2017-09-08,0.04,1,0,0.04,3006.0,0
42,Brooklyn,Williamsburg,40.70932,-73.94792,Private room,90,1,1,2018-11-19,0.13,1,32,0.13,2569.0,0
43,Manhattan,Midtown,40.74478,-73.98442,Entire home/apt,349,4,32,2019-06-21,3.04,1,255,97.28,2355.0,0
44,Manhattan,Chelsea,40.74566,-73.99579,Entire home/apt,300,3,6,2019-06-29,3.4,1,180,20.4,2347.0,0
45,Manhattan,East Village,40.72156,-73.97902,Private room,90,1,3,2016-09-01,0.08,2,0,0.24,3378.0,0
46,Manhattan,Chinatown,40.7152,-73.99947,Entire home/apt,159,6,39,2019-05-25,1.31,1,351,51.09,2382.0,0
47,Brooklyn,Bushwick,40.70028,-73.93952,Shared room,35,30,0,,,14,333,,,0
48,Brooklyn,Prospect-Lefferts Gardens,40.6602,-73.95043,Private room,95,1,1,2015-06-30,0.02,1,0,0.02,3807.0,0
49,Bronx,Concourse,40.82276,-73.92682,Entire home/apt,114,2,79,2019-07-01,3.88,1,283,306.52,2345.0,0
50,Brooklyn,Williamsburg,40.71171,-73.94575,Entire home/apt,120,5,1,2014-12-31,0.02,1,0,0.02,3988.0,0
51,Brooklyn,Greenpoint,40.72268,-73.94349,Private room,55,1,2,2018-12-10,0.27,1,0,0.54,2548.0,0
52,Brooklyn,Flatbush,40.63649,-73.96508,Entire home/apt,165,2,172,2019-07-06,3.1,1,264,533.2,2340.0,0
53,Brooklyn,East Flatbush,40.64487,-73.94711,Entire home/apt,70,1,23,2019-01-28,3.27,1,0,75.21,2499.0,0
54,Brooklyn,Bedford-Stuyvesant,40.68374,-73.9447,Private room,68,2,134,2019-06-20,3.8,3,245,509.2,2356.0,0
55,Brooklyn,Bushwick,40.69994,-73.92176,Private room,50,3,0,,,1,0,,,0
56,Brooklyn,Bushwick,40.69845,-73.93495,Private room,30,1,3,2016-09-14,0.07,3,0,0.21000000000000002,3365.0,0
57,Manhattan,Hell's Kitchen,40.76515,-73.98586,Entire home/apt,389,1,1,2019-06-19,1.0,1,0,1.0,2357.0,0
58,Manhattan,Murray Hill,40.7496,-73.97609,Entire home/apt,175,30,5,2018-12-03,0.21,50,147,1.05,2555.0,0
59,Queens,Long Island City,40.75295,-73.93228,Private room,65,2,5,2014-09-09,0.06,1,362,0.3,4101.0,0
60,Brooklyn,Fort Greene,40.68835,-73.9736,Private room,120,2,77,2019-06-26,1.68,2,0,129.35999999999999,2350.0,0
61,Manhattan,East Harlem,40.80651,-73.93776,Shared room,60,1,4,2015-08-31,0.08,1,0,0.32,3745.0,0
62,Brooklyn,Williamsburg,40.71054,-73.95908,Private room,85,2,2,2019-06-03,1.25,1,19,2.5,2373.0,0
63,Manhattan,Washington Heights,40.84545,-73.94172,Private room,50,2,1,2017-09-11,0.05,1,0,0.05,3003.0,0
64,Bronx,Longwood,40.81611,-73.89909,Entire home/apt,100,5,82,2018-12-15,0.96,1,63,78.72,2543.0,0
65,Brooklyn,Bedford-Stuyvesant,40.68787,-73.94973,Private room,33,29,0,,,37,0,,,0
66,Manhattan,Financial District,40.70742,-74.01544,Entire home/apt,200,30,1,2017-02-04,0.03,10,342,0.03,3222.0,0
67,Manhattan,East Village,40.72626,-73.98784,Entire home/apt,310,2,78,2019-06-23,5.49,1,169,428.22,2353.0,0
68,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,2019-06-23,0.78,4,310,65.52,2353.0,0
69,Manhattan,East Village,40.73185,-73.98431,Private room,100,1,0,,,1,0,,,0
70,Manhattan,Chelsea,40.74975,-73.9961,Private room,129,1,0,,,20,359,,,0
71,Brooklyn,Bedford-Stuyvesant,40.69031,-73.95855,Private room,59,3,2,2018-11-17,0.24,1,0,0.48,2571.0,0
72,Brooklyn,Williamsburg,40.70492,-73.93832,Private room,70,3,1,2015-08-23,0.02,1,0,0.02,3753.0,0
73,Brooklyn,Prospect-Lefferts Gardens,40.65798,-73.95985,Private room,83,3,14,2017-01-02,0.31,1,0,4.34,3255.0,0
74,Manhattan,Chelsea,40.74098,-73.99744,Entire home/apt,140,29,2,2018-07-22,0.15,1,334,0.3,2689.0,0
75,Manhattan,Hell's Kitchen,40.76978,-73.98936,Entire home/apt,115,5,0,,,2,0,,,0
76,Manhattan,Chelsea,40.75,-73.99637,Entire home/apt,395,3,0,,,1,0,,,0
77,Bronx,Throgs Neck,40.81587,-73.81532,Entire home/apt,175,2,28,2019-05-28,0.92,1,36,25.76,2379.0,0
78,Manhattan,East Harlem,40.7977,-73.93493,Entire home/apt,250,3,13,2019-06-03,0.94,1,74,12.219999999999999,2373.0,0
79,Manhattan,Harlem,40.81696,-73.94164,Private room,80,3,69,2019-05-25,1.7,1,3,117.3,2382.0,0
80,Manhattan,Midtown,40.75307,-73.97162,Entire home/apt,269,3,5,2019-01-02,0.35,12,0,1.75,2525.0,0
81,Brooklyn,Sunset Park,40.66388,-73.99475,Private room,50,31,0,,,1,0,,,0
82,Queens,Jamaica,40.68073,-73.78354,Private room,45,1,336,2019-07-05,11.91,2,345,4001.76,2341.0,0
83,Brooklyn,Bedford-Stuyvesant,40.69126,-73.95285,Entire home/apt,250,14,0,,,1,364,,,0
84,Brooklyn,Greenpoint,40.73176,-73.95371,Private room,70,4,6,2017-01-01,0.11,1,0,0.66,3256.0,0
85,Queens,South Ozone Park,40.67324,-73.7957,Shared room,34,5,2,2019-02-23,0.23,7,365,0.46,2473.0,1
86,Brooklyn,Williamsburg,40.71173,-73.96164,Private room,55,1,1,2017-12-30,0.05,1,0,0.05,2893.0,0
87,Manhattan,Civic Center,40.71649,-74.00267,Entire home/apt,169,4,8,2016-05-15,0.17,1,0,1.36,3487.0,0
88,Brooklyn,Williamsburg,40.71053,-73.96261,Entire home/apt,300,2,14,2019-06-16,2.27,2,279,31.78,2360.0,0
89,Queens,Corona,40.73933,-73.84851,Entire home/apt,100,2,2,2018-08-21,0.18,1,0,0.36,2659.0,0
90,Brooklyn,Flatbush,40.65132,-73.95691,Entire home/apt,128,3,2,2017-04-30,0.07,1,0,0.14,3137.0,0
91,Manhattan,Upper West Side,40.77885,-73.98178,Entire home/apt,169,7,0,,,1,0,,,0
92,Brooklyn,Crown Heights,40.67189,-73.93499,Entire home/apt,90,7,2,2015-08-25,0.03,1,0,0.06,3751.0,0
93,Brooklyn,Fort Greene,40.68718,-73.97289,Entire home/apt,200,2,2,2019-07-03,2.0,1,15,4.0,2343.0,0
94,Brooklyn,Bedford-Stuyvesant,40.68389,-73.92659,Private room,40,1,0,,,1,0,,,0
95,Queens,Rego Park,40.72644,-73.85477,Private room,39,1,2,2015-09-07,0.04,1,0,0.08,3738.0,0
96,Brooklyn,Bedford-Stuyvesant,40.6802,-73.93315,Entire home/apt,130,1,3,2017-06-26,0.12,1,0,0.36,3080.0,0
97,Brooklyn,Sheepshead Bay,40.59362,-73.95659,Entire home/apt,110,2,16,2019-06-23,2.45,1,276,39.2,2353.0,0
98,Manhattan,Tribeca,40.71503,-74.00702,Entire home/apt,400,2,5,2019-05-06,0.39,1,0,1.9500000000000002,2401.0,0
99,Manhattan,Chinatown,40.71387,-73.99427,Entire home/apt,155,5,0,,,1,165,,,0
100,Brooklyn,Bushwick,40.68726,-73.91421,Private room,60,1,0,,,1,179,,,0
101,Manhattan,Morningside Heights,40.80608,-73.96397,Entire home/apt,189,10,2,2017-12-30,0.1,1,0,0.2,2893.0,0
102,Brooklyn,East Flatbush,40.65532,-73.91793,Private room,80,7,1,2019-04-18,0.36,9,364,0.36,2419.0,0
103,Manhattan,Harlem,40.81944,-73.93974,Private room,70,1,23,2019-06-27,6.05,2,97,139.15,2349.0,0
104,Brooklyn,East Flatbush,40.64863,-73.94948,Private room,80,1,27,2019-04-13,1.09,3,342,29.430000000000003,2424.0,0
105,Queens,Glendale,40.70267,-73.88663,Private room,83,2,4,2019-04-09,0.32,1,364,1.28,2428.0,0
106,Manhattan,Hell's Kitchen,40.7635,-73.9878,Entire home/apt,145,4,2,2019-06-26,2.0,1,92,4.0,2350.0,0
107,Manhattan,East Village,40.72304,-73.97923,Entire home/apt,120,60,5,2013-06-20,0.06,1,0,0.3,4547.0,0
108,Manhattan,Washington Heights,40.84218,-73.93676,Private room,55,2,15,2019-07-06,0.76,1,0,11.4,2340.0,0
109,Brooklyn,Bushwick,40.70383,-73.92853,Private room,40,1,0,,,1,0,,,0
110,Brooklyn,Williamsburg,40.71315,-73.95411,Private room,65,2,17,2019-07-07,3.11,2,26,52.87,2339.0,0
111,Manhattan,Gramercy,40.737,-73.98199,Private room,65,4,161,2019-07-01,1.92,1,182,309.12,2345.0,0
112,Brooklyn,Williamsburg,40.71009,-73.95842,Private room,90,3,4,2019-07-02,3.53,1,63,14.12,2344.0,0
113,Brooklyn,Bushwick,40.69881,-73.91278,Private room,32,1,3,2017-11-20,0.15,1,0,0.44999999999999996,2933.0,0
114,Manhattan,Flatiron District,40.74147,-73.98577,Private room,90,2,3,2017-02-08,0.1,1,0,0.30000000000000004,3218.0,0
115,Brooklyn,Crown Heights,40.67011,-73.92544,Private room,100,1,27,2018-10-30,0.75,2,365,20.25,2589.0,1
116,Brooklyn,Bedford-Stuyvesant,40.6916,-73.94714,Private room,77,2,145,2019-06-02,2.42,1,365,350.9,2374.0,1
117,Manhattan,Hell's Kitchen,40.75892,-73.98949,Entire home/apt,133,30,7,2019-06-22,0.21,91,281,1.47,2354.0,0
118,Queens,Astoria,40.76622,-73.92897,Private room,60,4,0,,,2,0,,,0
119,Brooklyn,Prospect-Lefferts Gardens,40.65994,-73.95892,Entire home/apt,350,5,0,,,1,365,,,1
120,Manhattan,Upper East Side,40.77065,-73.95205,Private room,150,1,1,2015-10-11,0.02,1,0,0.02,3704.0,0
121,Brooklyn,Bensonhurst,40.60931,-73.99847,Entire home/apt,45,2,28,2018-01-02,0.43,2,0,12.04,2890.0,0
122,Manhattan,Harlem,40.81798,-73.93956,Private room,115,1,53,2019-04-25,3.33,1,0,176.49,2412.0,0
123,Manhattan,Washington Heights,40.84182,-73.93898,Entire home/apt,130,3,25,2019-06-22,1.36,1,155,34.0,2354.0,0
124,Brooklyn,Midwood,40.62401,-73.95775,Private room,49,2,26,2019-04-15,0.54,1,362,14.040000000000001,2422.0,0
125,Manhattan,Upper East Side,40.76161,-73.96252,Entire home/apt,200,30,0,,,49,324,,,0
126,Queens,Astoria,40.76371,-73.92049,Entire home/apt,100,4,2,2015-12-31,0.04,1,0,0.08,3623.0,0
127,Manhattan,Midtown,40.74829,-73.98715,Private room,100,1,12,2019-06-16,7.66,5,287,91.92,2360.0,0
128,Manhattan,Upper West Side,40.80006,-73.9648,Entire home/apt,105,1,24,2018-01-07,0.97,1,0,23.28,2885.0,0
129,Manhattan,Upper East Side,40.77207,-73.95923,Entire home/apt,169,7,11,2019-01-05,0.2,1,24,2.2,2522.0,0
130,Brooklyn,DUMBO,40.70452,-73.98583,Entire home/apt,250,2,150,2019-07-05,2.57,1,309,385.5,2341.0,0
131,Brooklyn,Bedford-Stuyvesant,40.68033,-73.91023,Private room,31,30,1,2018-09-11,0.1,1,62,0.1,2638.0,0
132,Brooklyn,Bushwick,40.70121,-73.91986,Private room,85,1,89,2019-07-05,4.35,4,58,387.15,2341.0,0
133,Bronx,Melrose,40.82374,-73.91555,Entire home/apt,59,2,2,2019-06-17,2.0,1,0,4.0,2359.0,0
134,Manhattan,Upper East Side,40.77807,-73.95003,Entire home/apt,160,1,1,2018-12-18,0.15,1,71,0.15,2540.0,0
135,Manhattan,Murray Hill,40.74577,-73.97587,Entire home/apt,310,30,0,,,5,311,,,0
136,Manhattan,Upper West Side,40.79118,-73.97091,Entire home/apt,110,30,1,2019-05-19,0.59,1,3,0.59,2388.0,0
137,Manhattan,Harlem,40.82616,-73.94023,Entire home/apt,130,2,5,2016-10-30,0.13,1,0,0.65,3319.0,0
138,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,2019-06-26,0.12,1,224,1.56,2350.0,0
139,Bronx,Longwood,40.82345,-73.9033,Entire home/apt,89,1,185,2019-07-07,4.52,3,104,836.1999999999999,2339.0,0
140,Brooklyn,Williamsburg,40.71777,-73.96173,Entire home/apt,250,4,8,2019-07-01,0.7,1,156,5.6,2345.0,0
141,Brooklyn,Bedford-Stuyvesant,40.68824,-73.95047,Private room,34,1,3,2019-01-01,0.43,1,0,1.29,2526.0,0
142,Brooklyn,Flatbush,40.64294,-73.96016,Entire home/apt,110,1,3,2016-08-21,0.05,1,0,0.15000000000000002,3389.0,0
143,Brooklyn,Clinton Hill,40.69473,-73.96165,Private room,90,30,1,2019-03-01,0.23,6,281,0.23,2467.0,0
144,Brooklyn,Bushwick,40.69169,-73.90429,Private room,40,1,3,2019-04-20,0.69,4,0,2.07,2417.0,0
145,Manhattan,Financial District,40.70605,-74.01042,Entire home/apt,475,2,0,,,1,64,,,0
146,Manhattan,Chelsea,40.73726,-73.99399,Private room,235,1,34,2019-07-01,0.68,1,135,23.12,2345.0,0
147,Manhattan,Hell's Kitchen,40.76956,-73.98804,Private room,125,2,29,2019-06-22,2.03,4,43,58.87,2354.0,0
148,Queens,Kew Gardens Hills,40.71843,-73.81266,Private room,49,4,6,2019-07-06,0.95,2,111,5.699999999999999,2340.0,0
149,Manhattan,East Village,40.72803,-73.97961,Private room,100,1,1,2018-09-18,0.1,1,0,0.1,2631.0,0
150,Brooklyn,Crown Heights,40.6761,-73.93502,Private room,45,2,17,2019-05-05,2.52,1,14,42.84,2402.0,0
151,Brooklyn,Bushwick,40.70286,-73.91884,Entire home/apt,180,29,31,2019-01-03,1.19,2,147,36.89,2524.0,0
152,Manhattan,Theater District,40.76159,-73.98544,Entire home/apt,297,30,0,,,232,68,,,0
153,Manhattan,Upper West Side,40.78466,-73.97276,Entire home/apt,200,2,128,2019-06-17,3.31,1,231,423.68,2359.0,0
154,Manhattan,Kips Bay,40.73826,-73.98028,Entire home/apt,250,2,2,2018-09-27,0.21,1,0,0.42,2622.0,0
155,Manhattan,Midtown,40.76096,-73.9672,Private room,120,5,0,,,1,0,,,0
156,Brooklyn,Park Slope,40.66732,-73.98233,Entire home/apt,159,2,4,2015-09-21,0.08,1,0,0.32,3724.0,0
157,Brooklyn,Park Slope,40.67042,-73.98508,Private room,50,5,0,,,1,0,,,0
158,Brooklyn,Bedford-Stuyvesant,40.67877,-73.91227,Shared room,35,1,9,2019-06-09,1.97,17,88,17.73,2367.0,0
159,Brooklyn,Williamsburg,40.71297,-73.95657,Entire home/apt,345,2,47,2019-06-29,3.24,2,146,152.28,2347.0,0
160,Queens,Forest Hills,40.7081,-73.85206,Entire home/apt,70,1,29,2019-06-03,1.47,2,225,42.63,2373.0,0
161,Manhattan,Upper West Side,40.80193,-73.96703,Private room,80,4,75,2019-07-01,0.93,1,15,69.75,2345.0,0
162,Manhattan,Upper West Side,40.79494,-73.97221,Entire home/apt,168,1,2,2016-01-06,0.04,1,0,0.08,3617.0,0
163,Manhattan,Theater District,40.761,-73.98522,Entire home/apt,169,30,5,2017-06-25,0.15,23,365,0.75,3081.0,1
164,Brooklyn,Red Hook,40.67668,-74.01252,Entire home/apt,115,6,0,,,2,0,,,0
165,Manhattan,West Village,40.73247,-74.00378,Entire home/apt,400,3,17,2019-06-22,0.88,1,37,14.96,2354.0,0
166,Manhattan,Hell's Kitchen,40.76164,-73.99218,Entire home/apt,417,3,1,2019-07-01,1.0,1,219,1.0,2345.0,0
167,Brooklyn,East Flatbush,40.63196,-73.94572,Private room,175,2,4,2019-06-13,1.52,3,43,6.08,2363.0,0
168,Brooklyn,Bushwick,40.70464,-73.91596,Private room,44,5,1,2015-07-27,0.02,1,0,0.02,3780.0,0
169,Manhattan,Murray Hill,40.74814,-73.97554,Entire home/apt,175,30,1,2018-08-11,0.09,50,365,0.09,2669.0,1
170,Queens,Flushing,40.75607,-73.83202,Private room,78,2,41,2019-07-01,1.53,2,82,62.730000000000004,2345.0,0
171,Manhattan,Upper West Side,40.79024,-73.97911,Entire home/apt,200,1,0,,,1,0,,,0
172,Manhattan,NoHo,40.7259,-73.99336,Entire home/apt,407,30,12,2018-11-02,0.34,1,120,4.08,2586.0,0
173,Brooklyn,Williamsburg,40.71384,-73.94228,Private room,55,15,0,,,2,1,,,0
174,Manhattan,Harlem,40.83039,-73.94532,Private room,65,30,6,2016-11-04,0.16,3,365,0.96,3314.0,1
175,Manhattan,Chelsea,40.75283,-73.99951,Entire home/apt,140,4,0,,,1,0,,,0
176,Brooklyn,Sunset Park,40.66154,-73.99158,Entire home/apt,109,9,0,,,1,16,,,0
177,Manhattan,Midtown,40.76622,-73.97783,Entire home/apt,350,1,0,,,1,364,,,0
178,Queens,Richmond Hill,40.69947,-73.82795,Entire home/apt,90,30,11,2019-03-04,0.2,3,189,2.2,2464.0,0
179,Brooklyn,Park Slope,40.673,-73.97721,Entire home/apt,211,3,8,2019-06-11,1.2,1,90,9.6,2365.0,0
180,Brooklyn,Greenpoint,40.71986,-73.95344,Entire home/apt,350,6,0,,,1,0,,,0
181,Manhattan,Financial District,40.70494,-74.00806,Private room,150,3,3,2018-10-15,0.24,2,0,0.72,2604.0,0
182,Brooklyn,Gowanus,40.67688,-73.9859,Entire home/apt,100,7,9,2016-06-23,0.1,1,0,0.9,3448.0,0
183,Manhattan,Lower East Side,40.71919,-73.99208,Private room,200,1,0,,,1,0,,,0
184,Brooklyn,Prospect Heights,40.67897,-73.9709,Private room,70,1,238,2019-07-05,5.87,13,313,1397.06,2341.0,0
185,Brooklyn,Bedford-Stuyvesant,40.68909,-73.95282,Private room,90,2,29,2019-06-30,1.36,2,167,39.440000000000005,2346.0,0
186,Manhattan,West Village,40.73456,-74.00347,Private room,88,2,2,2019-07-04,0.05,1,348,0.1,2342.0,0
187,Brooklyn,Bushwick,40.69735,-73.9327,Entire home/apt,240,3,84,2019-06-23,2.95,1,237,247.8,2353.0,0
188,Brooklyn,Bedford-Stuyvesant,40.68327,-73.92411,Entire home/apt,100,3,4,2019-06-26,0.29,1,358,1.16,2350.0,0
189,Brooklyn,Sunset Park,40.64465,-74.01881,Private room,150,1,1,2015-06-12,0.02,1,0,0.02,3825.0,0
190,Brooklyn,Sunset Park,40.64722,-74.00475,Private room,55,7,98,2019-05-22,1.75,3,312,171.5,2385.0,0
191,Manhattan,East Village,40.72745,-73.98979,Private room,200,1,0,,,1,0,,,0
192,Manhattan,Financial District,40.70472,-74.00763,Private room,210,2,5,2019-06-16,2.83,1,0,14.15,2360.0,0
193,Manhattan,Battery Park City,40.70725,-74.01741,Entire home/apt,390,2,0,,,1,0,,,0
194,Queens,Astoria,40.77415,-73.93125,Private room,85,1,14,2018-12-29,0.76,2,6,10.64,2529.0,0
195,Manhattan,Morningside Heights,40.80739,-73.95918,Entire home/apt,100,1,5,2014-12-22,0.08,1,0,0.4,3997.0,0
196,Manhattan,Theater District,40.76365,-73.98484,Private room,155,1,0,,,1,0,,,0
197,Manhattan,Upper East Side,40.76873,-73.95487,Entire home/apt,202,1,0,,,1,0,,,0
198,Bronx,Hunts Point,40.81229,-73.88887,Private room,40,30,19,2019-06-29,0.4,6,287,7.6000000000000005,2347.0,0
199,Manhattan,Greenwich Village,40.73499,-73.99254,Private room,150,2,36,2019-06-09,1.06,1,13,38.160000000000004,2367.0,0
200,Brooklyn,Bushwick,40.69051,-73.91557,Private room,50,3,0,,,2,86,,,0
201,Brooklyn,Bushwick,40.6907,-73.91157,Private room,40,30,0,,,103,269,,,0
202,Manhattan,Upper West Side,40.80031,-73.95847,Entire home/apt,380,2,6,2016-12-11,0.16,1,0,0.96,3277.0,0
203,Manhattan,East Village,40.72538,-73.98351,Entire home/apt,165,60,11,2015-10-15,0.15,1,311,1.65,3700.0,0
204,Brooklyn,Crown Heights,40.6696,-73.92414,Private room,64,1,64,2019-06-30,3.13,12,63,200.32,2346.0,0
205,Brooklyn,Prospect-Lefferts Gardens,40.6613,-73.96193,Private room,50,1,70,2018-07-22,1.79,2,0,125.3,2689.0,0
206,Brooklyn,Brooklyn Heights,40.6926,-73.99832,Private room,100,3,66,2016-09-16,0.68,2,0,44.88,3363.0,0
207,Brooklyn,Bedford-Stuyvesant,40.6847,-73.95532,Private room,70,2,23,2019-06-23,2.95,3,293,67.85000000000001,2353.0,0
208,Brooklyn,Carroll Gardens,40.68268,-73.99687,Entire home/apt,172,2,90,2019-06-30,2.31,1,87,207.9,2346.0,0
209,Brooklyn,Bedford-Stuyvesant,40.683,-73.91981,Entire home/apt,145,3,127,2019-06-24,1.25,2,72,158.75,2352.0,0
210,Manhattan,Financial District,40.7092,-74.00699,Entire home/apt,175,5,0,,,1,0,,,0
211,Brooklyn,Bensonhurst,40.6101,-73.99591,Entire home/apt,115,4,6,2017-12-06,0.08,1,0,0.48,2917.0,0
212,Manhattan,Upper West Side,40.7765,-73.97914,Entire home/apt,230,5,0,,,1,0,,,0
213,Brooklyn,Fort Greene,40.69319,-73.98226,Entire home/apt,100,5,0,,,1,0,,,0
214,Brooklyn,Prospect-Lefferts Gardens,40.65646,-73.95229,Entire home/apt,115,2,1,2018-12-26,0.15,1,0,0.15,2532.0,0
215,Brooklyn,Kensington,40.6378,-73.9696,Private room,65,4,7,2019-05-27,0.22,1,0,1.54,2380.0,0
216,Brooklyn,Flatbush,40.64408,-73.96979,Private room,55,2,28,2019-06-23,2.64,6,68,73.92,2353.0,0
217,Manhattan,Harlem,40.80874,-73.94167,Entire home/apt,300,30,3,2019-04-30,0.27,4,0,0.81,2407.0,0
218,Brooklyn,Bushwick,40.70267,-73.92751,Private room,55,2,16,2019-05-13,2.57,1,2,41.12,2394.0,0
219,Brooklyn,Bedford-Stuyvesant,40.68478,-73.92971,Entire home/apt,170,3,125,2019-06-22,1.86,2,314,232.5,2354.0,0
220,Bronx,Concourse,40.81906,-73.92806,Private room,85,2,11,2018-09-02,0.18,2,363,1.98,2647.0,0
221,Manhattan,Chelsea,40.74054,-74.0004,Entire home/apt,365,6,7,2018-01-26,0.26,1,0,1.82,2866.0,0
222,Queens,Ridgewood,40.70141,-73.90415,Entire home/apt,195,18,0,,,2,347,,,0
223,Queens,Long Island City,40.75644,-73.93486,Entire home/apt,195,3,121,2019-07-02,2.59,1,66,313.39,2344.0,0
